k,m,h(m)
1,1,0.994792
1,2,0.989583
1,3,0.984375
1,4,0.979167
1,5,0.973958
1,6,0.96875
1,7,0.963542
1,8,0.958333
1,9,0.953125
1,10,0.947917
1,11,0.942708
1,12,0.9375
1,13,0.932292
1,14,0.927083
1,15,0.921875
1,16,0.916667
1,17,0.911458
1,18,0.90625
1,19,0.901042
1,20,0.895833
1,21,0.890625
1,22,0.885417
1,23,0.880208
1,24,0.875
1,25,0.869792
1,26,0.864583
1,27,0.859375
1,28,0.854167
1,29,0.848958
1,30,0.84375
1,31,0.838542
1,32,0.833333
1,33,0.828125
1,34,0.822917
1,35,0.817708
1,36,0.8125
1,37,0.807292
1,38,0.802083
1,39,0.796875
1,40,0.791667
1,41,0.786458
1,42,0.78125
1,43,0.776042
1,44,0.770833
1,45,0.765625
1,46,0.760417
1,47,0.755208
1,48,0.75
1,49,0.744792
1,50,0.739583
1,51,0.734375
1,52,0.729167
1,53,0.723958
1,54,0.71875
1,55,0.713542
1,56,0.708333
1,57,0.703125
1,58,0.697917
1,59,0.692708
1,60,0.6875
1,61,0.682292
1,62,0.677083
1,63,0.671875
1,64,0.666667
1,65,0.661458
1,66,0.65625
1,67,0.651042
1,68,0.645833
1,69,0.640625
1,70,0.635417
1,71,0.630208
1,72,0.625
1,73,0.619792
1,74,0.614583
1,75,0.609375
1,76,0.604167
1,77,0.598958
1,78,0.59375
1,79,0.588542
1,80,0.583333
1,81,0.578125
1,82,0.572917
1,83,0.567708
1,84,0.5625
1,85,0.557292
1,86,0.552083
1,87,0.546875
1,88,0.541667
1,89,0.536458
1,90,0.53125
1,91,0.526042
1,92,0.520833
1,93,0.515625
1,94,0.510417
1,95,0.505208
1,96,0.5
2,1,0.989583
2,2,0.979221
2,3,0.968914
2,4,0.958661
2,5,0.948462
2,6,0.938318
2,7,0.928229
2,8,0.918194
2,9,0.908213
2,10,0.898288
2,11,0.888416
2,12,0.878599
2,13,0.868837
2,14,0.85913
2,15,0.849476
2,16,0.839878
2,17,0.830334
2,18,0.820844
2,19,0.811409
2,20,0.802029
2,21,0.792703
2,22,0.783432
2,23,0.774215
2,24,0.765052
2,25,0.755945
2,26,0.746891
2,27,0.737893
2,28,0.728949
2,29,0.720059
2,30,0.711224
2,31,0.702443
2,32,0.693717
2,33,0.685046
2,34,0.676429
2,35,0.667866
2,36,0.659359
2,37,0.650905
2,38,0.642507
2,39,0.634162
2,40,0.625873
2,41,0.617637
2,42,0.609457
2,43,0.601331
2,44,0.593259
2,45,0.585242
2,46,0.57728
2,47,0.569372
2,48,0.561518
2,49,0.553719
2,50,0.545975
2,51,0.538285
2,52,0.53065
2,53,0.523069
2,54,0.515543
2,55,0.508072
2,56,0.500654
2,57,0.493292
2,58,0.485984
2,59,0.47873
2,60,0.471531
2,61,0.464387
2,62,0.457297
2,63,0.450262
2,64,0.443281
2,65,0.436355
2,66,0.429483
2,67,0.422666
2,68,0.415903
2,69,0.409195
2,70,0.402541
2,71,0.395942
2,72,0.389398
2,73,0.382908
2,74,0.376473
2,75,0.370092
2,76,0.363765
2,77,0.357493
2,78,0.351276
2,79,0.345113
2,80,0.339005
2,81,0.332952
2,82,0.326952
2,83,0.321008
2,84,0.315118
2,85,0.309282
2,86,0.303501
2,87,0.297775
2,88,0.292103
2,89,0.286486
2,90,0.280923
2,91,0.275414
2,92,0.269961
2,93,0.264562
2,94,0.259217
2,95,0.253927
2,96,0.248691
3,1,0.984375
3,2,0.968914
3,3,0.953615
3,4,0.938478
3,5,0.923503
3,6,0.908687
3,7,0.894031
3,8,0.879533
3,9,0.865193
3,10,0.851009
3,11,0.836982
3,12,0.823109
3,13,0.809391
3,14,0.795825
3,15,0.782413
3,16,0.769151
3,17,0.756041
3,18,0.74308
3,19,0.730268
3,20,0.717605
3,21,0.705088
3,22,0.692718
3,23,0.680494
3,24,0.668414
3,25,0.656478
3,26,0.644685
3,27,0.633034
3,28,0.621525
3,29,0.610155
3,30,0.598925
3,31,0.587834
3,32,0.576881
3,33,0.566064
3,34,0.555384
3,35,0.544838
3,36,0.534428
3,37,0.52415
3,38,0.514005
3,39,0.503992
3,40,0.49411
3,41,0.484358
3,42,0.474735
3,43,0.46524
3,44,0.455873
3,45,0.446632
3,46,0.437517
3,47,0.428527
3,48,0.419661
3,49,0.410918
3,50,0.402297
3,51,0.393798
3,52,0.38542
3,53,0.377161
3,54,0.36902
3,55,0.360998
3,56,0.353093
3,57,0.345304
3,58,0.337631
3,59,0.330072
3,60,0.322627
3,61,0.315294
3,62,0.308074
3,63,0.300964
3,64,0.293965
3,65,0.287075
3,66,0.280294
3,67,0.27362
3,68,0.267054
3,69,0.260593
3,70,0.254237
3,71,0.247985
3,72,0.241837
3,73,0.235791
3,74,0.229846
3,75,0.224003
3,76,0.218259
3,77,0.212615
3,78,0.207068
3,79,0.201619
3,80,0.196266
3,81,0.191009
3,82,0.185847
3,83,0.180778
3,84,0.175803
3,85,0.170919
3,86,0.166127
3,87,0.161425
3,88,0.156813
3,89,0.15229
3,90,0.147854
3,91,0.143505
3,92,0.139243
3,93,0.135066
3,94,0.130973
3,95,0.126963
3,96,0.123037
4,1,0.979167
4,2,0.958661
4,3,0.938478
4,4,0.918616
4,5,0.899071
4,6,0.87984
4,7,0.860918
4,8,0.842304
4,9,0.823993
4,10,0.805982
4,11,0.788268
4,12,0.770848
4,13,0.753718
4,14,0.736875
4,15,0.720316
4,16,0.704038
4,17,0.688037
4,18,0.672311
4,19,0.656855
4,20,0.641668
4,21,0.626745
4,22,0.612084
4,23,0.597683
4,24,0.583536
