HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,121,160,0.75625,1,108.181,0.676131
2,7605,12720,0.597877,1,5950.43,0.467801
3,330779,669920,0.493759,1,222560,0.332219
4,425137,1e+06,0.425137,0,242915,0.242915
5,378120,1e+06,0.37812,0,182602,0.182602
6,347854,1e+06,0.347854,0,141478,0.141478
7,326547,1e+06,0.326547,0,113001,0.113001
8,312866,1e+06,0.312866,0,92062.9,0.0920629
9,303111,1e+06,0.303111,0,76280.8,0.0762808
10,297220,1e+06,0.29722,0,64493.5,0.0644935
11,293383,1e+06,0.293383,0,55193.5,0.0551935
12,291426,1e+06,0.291426,0,48153.9,0.0481539
13,290302,1e+06,0.290302,0,42108.4,0.0421084
14,290550,1e+06,0.29055,0,37139,0.037139
15,292576,1e+06,0.292576,0,33158.3,0.0331583
16,293858,1e+06,0.293858,0,29498.1,0.0294981
17,295374,1e+06,0.295374,0,26611.7,0.0266117
18,298526,1e+06,0.298526,0,23986.1,0.0239861
19,301390,1e+06,0.30139,0,21708.9,0.0217089
20,303557,1e+06,0.303557,0,20031.3,0.0200313
21,306466,1e+06,0.306466,0,17931.6,0.0179316
22,309781,1e+06,0.309781,0,16435.7,0.0164357
23,312354,1e+06,0.312354,0,15035.9,0.0150359
24,316009,1e+06,0.316009,0,13840.4,0.0138404
25,319137,1e+06,0.319137,0,12677.8,0.0126778
26,321613,1e+06,0.321613,0,11699.6,0.0116996
27,324030,1e+06,0.32403,0,10720.6,0.0107206
28,327323,1e+06,0.327323,0,9858.83,0.00985883
29,330050,1e+06,0.33005,0,9079.25,0.00907925
30,331597,1e+06,0.331597,0,8409.04,0.00840904
31,335124,1e+06,0.335124,0,7758.64,0.00775864
32,337251,1e+06,0.337251,0,7177.55,0.00717755
33,339412,1e+06,0.339412,0,6636.77,0.00663677
34,341690,1e+06,0.34169,0,6177.84,0.00617784
35,344849,1e+06,0.344849,0,5598.13,0.00559813
36,347686,1e+06,0.347686,0,5281.73,0.00528173
37,348607,1e+06,0.348607,0,4839.48,0.00483948
38,351215,1e+06,0.351215,0,4558.22,0.00455822
39,353590,1e+06,0.35359,0,4175.27,0.00417527
40,354352,1e+06,0.354352,0,3908.83,0.00390883
41,356796,1e+06,0.356796,0,3645.03,0.00364503
42,359169,1e+06,0.359169,0,3429.99,0.00342999
43,359369,1e+06,0.359369,0,3127.96,0.00312796
44,361461,1e+06,0.361461,0,2961.06,0.00296106
45,363617,1e+06,0.363617,0,2773.4,0.0027734
46,364562,1e+06,0.364562,0,2578.39,0.00257839
47,367357,1e+06,0.367357,0,2333.32,0.00233332
48,367247,1e+06,0.367247,0,2196.86,0.00219686
49,369604,1e+06,0.369604,0,2103.52,0.00210352
50,370161,1e+06,0.370161,0,1968.06,0.00196806
51,371673,1e+06,0.371673,0,1823.08,0.00182308
52,372883,1e+06,0.372883,0,1709.06,0.00170906
53,373186,1e+06,0.373186,0,1613.23,0.00161323
