l,p(!0),p(0)
1,0.015625,0.984375
2,0.180555555555555556,0.819444444444444444
3,0.461885560675883257,0.538114439324116743
4,0.70120841832237919,0.29879158167762081
5,0.849976496856454551,0.150023503143545449
6,0.929074533846020549,0.0709254661539794507
7,0.967766944490719263,0.0322330555092807369
8,0.985785264496696952,0.0142147355033030479
9,0.993895510825968631,0.00610448917403136923
10,0.997445401020437533,0.00255459897956246727
11,0.998959002486403002,0.00104099751359699826
12,0.999587502687099169,0.000412497312900830793
13,0.999841344629656779,0.000158655370343220668
14,0.999940892896720051,5.91071032799492376e-05
15,0.999978721430783034,2.12785692169655091e-05
16,0.999992617638759984,7.3823612400158241e-06
17,0.99999753921290976,2.46078709024012514e-06
18,0.999999214642418008,7.85357581991523532e-07
19,0.99999976097812722,2.39021872780031258e-07
20,0.999999930949236752,6.90507632475573577e-08
21,0.99999998116797366,1.88320263402527721e-08
22,0.99999999518250489,4.81749511024301066e-09
23,0.999999998852977355,1.14702264526755915e-09
24,0.999999999748214541,2.51785458693469522e-10
25,0.999999999949642908,5.0357091868798165e-11
26,0.999999999990961548,9.0384522782871457e-12
27,0.999999999998572876,1.42712404394007564e-12
28,0.999999999999807145,1.92854521414986824e-13
29,0.999999999999978572,2.14281717370035096e-14
30,0.999999999999998163,1.83674690040769306e-15
31,0.999999999999999892,1.07986536379556242e-16
32,0.999999999999999997,3.2526065174565133e-18
33,1,0
