GenomeID,Fitness,NumberEvolvingFitter,NumberEvolvingEqual,NumberEvolvingLessFit
793655a9-2ba8d723-2d543d71-e4a4c1b6-113681b8,0.000732422,7548,3664,38788
782cb882-93c360d1-aa1eea86-ae94f0ed-3963ce9,0.000707223,6344,830,42826
4289d27b-50b0c8a0-391b5312-26fcf67e-4a9a39a8,0.000530842,15933,4857,29210
4a385b1e-3b6b3550-a2aedeb9-5fbce5d5-e0c28f35,0.000686646,9097,911,39992
244d2e66-8ac47ecb-882b7d3c-8d48eea9-b9a4df7e,0.000549316,19931,4820,25249
a7b582b4-2aedc323-d0b75c0c-5cea6bd0-1125a95c,0.000609638,9422,231,40347
b41b16e9-290d4dc9-168521d4-d5ac336a-c774c979,0.000686646,9941,694,39365
940b4b67-d3a87a33-e9a423-c8a22473-f6c2315a,0.000611735,13915,1699,34386
ab627b45-b3611c52-4b31e8cd-df519fdb-55d4b52c,0.000167449,23369,1682,24949
12f60947-a51776f8-16d82154-ccb1b6bd-7af8b9f8,0.000578704,8139,383,41478
924a8d97-54ed6426-7c4f683d-64213e51-56a43f0b,0.000669041,9472,530,39998
6ef701c-15c33e3-8faaefe7-f9e709eb-b3a84d96,0.000482253,22147,1535,26318
f65e40d6-745a2d95-165fc272-a68a27d9-b98b5fd2,0.000381039,16981,2257,30762
8388a51c-e21302ba-29fa5295-7e6700ab-f635efd1,0.000541923,5269,4800,39931
ff210e7-4d7e2e20-bf7f9309-91bcc6f8-a4a4015f,0.000530842,8816,4711,36473
67d367e-e9c18db7-d132fc4e-942b3799-d4d4b5fc,0.000541923,15861,6020,28119
b3b2f0ab-56b46ecf-61e227d8-667ab177-d69b96e0,0.000609663,7755,1788,40457
860bb760-aa96d8a0-50c3e567-30bcefff-28b6a39c,0.000157286,31533,2463,16004
993a947c-208cd581-80872503-f6285d92-a2dbdb45,0.00030899,13279,3566,33155
f629bbd1-38d11dbf-396abb04-34835162-1e6cbcb6,0.000796262,7101,4080,38819
4fc4eca-d1103c3f-a07a8403-87425fe5-46749ff1,0.000549316,13012,4199,32789
351d5836-30e6419a-70a846a9-3c41208-9ee8fea9,0.000729333,6114,102,43784
2c142392-ba29c73-cbcbffdb-4ed47e32-3923dec9,0.000652894,10611,152,39237
4ac8f9e6-713548a4-f5062874-47f752df-93d948f8,0.000411987,13006,925,36069
e253a84b-c720e365-646e0acb-7c1a9d36-4dc43074,0.000685871,7137,1923,40940
94ae277f-5bc28966-d7637b18-3285c84-8d2d7260,0.000152934,21533,1520,26947
f840225c-446ef956-a2a55f01-7e0e9d4c-cf149cda,0.000411987,20001,5279,24720
62022370-e8c0a92a-ce0d1b4c-d43806cf-49506484,0.000338702,22960,2448,24592
a0d66494-88d3e282-b6083210-7dadaf4f-a1a5f83b,0.00023815,20336,1712,27952
11dad698-75c7b95b-aca0a481-1a3b2322-555b2af2,0.000530842,7302,4109,38589
a2a6bd77-a91ee1f3-a4fc3103-a7f0de72-50043542,0.000482253,21064,1710,27226
ac623195-d923d1ee-b135a31f-5cce1ea-fca0a347,0.000796262,8631,3613,37756
152a81f0-8f8b6bf6-79e76fdc-fbeb75bb-9616e866,0.000541923,6827,7309,35864
76d731c-38590aa3-822872c3-9dd89d6a-c3a0aa9d,0.000530842,16272,4325,29403
6b166a73-64947629-5a1427e1-746125bd-6821e172,0.000771605,6809,2675,40516
daf7009c-8ace72c6-3e93fab-7456d083-c0cc008e,0.000652894,7675,153,42172
