k,m,h(m)
1,1,0.96875
1,2,0.9375
1,3,0.90625
1,4,0.875
1,5,0.84375
1,6,0.8125
1,7,0.78125
1,8,0.75
1,9,0.71875
1,10,0.6875
1,11,0.65625
1,12,0.625
1,13,0.59375
1,14,0.5625
1,15,0.53125
1,16,0.5
2,1,0.9375
2,2,0.877016
2,3,0.818548
2,4,0.762097
2,5,0.707661
2,6,0.655242
2,7,0.604839
2,8,0.556452
2,9,0.510081
2,10,0.465726
2,11,0.423387
2,12,0.383065
2,13,0.344758
2,14,0.308468
2,15,0.274194
2,16,0.241935
3,1,0.90625
3,2,0.818548
3,3,0.736694
3,4,0.660484
3,5,0.589718
3,6,0.524194
3,7,0.46371
3,8,0.408065
3,9,0.357056
3,10,0.310484
3,11,0.268145
3,12,0.229839
3,13,0.195363
3,14,0.164516
3,15,0.137097
3,16,0.112903
4,1,0.875
4,2,0.762097
4,3,0.660484
4,4,0.569383
4,5,0.488042
4,6,0.41574
4,7,0.35178
4,8,0.295495
4,9,0.246246
4,10,0.20342
4,11,0.166435
4,12,0.134733
4,13,0.107786
4,14,0.0850945
4,15,0.0661846
4,16,0.0506118
5,1,0.84375
5,2,0.707661
5,3,0.589718
5,4,0.488042
5,5,0.400892
5,6,0.326653
5,7,0.263835
5,8,0.211068
5,9,0.167095
5,10,0.13077
5,11,0.10105
5,12,0.0769903
5,13,0.0577427
5,14,0.0425473
5,15,0.0307286
5,16,0.0216908
6,1,0.8125
6,2,0.655242
6,3,0.524194
6,4,0.41574
6,5,0.326653
6,6,0.254063
6,7,0.195433
6,8,0.148529
6,9,0.111397
6,10,0.0823369
6,11,0.0598813
6,12,0.0427724
6,13,0.0299407
6,14,0.0204857
6,15,0.0136571
6,16,0.00883698
7,1,0.78125
7,2,0.604839
7,3,0.46371
7,4,0.35178
7,5,0.263835
7,6,0.195433
7,7,0.142817
7,8,0.102828
7,9,0.0728364
7,10,0.0506688
7,11,0.0345469
7,12,0.0230313
7,13,0.0149703
7,14,0.00945495
7,15,0.00577802
7,16,0.00339884
8,1,0.75
8,2,0.556452
8,3,0.408065
8,4,0.295495
8,5,0.211068
8,6,0.148529
8,7,0.102828
8,8,0.069923
8,9,0.0466153
8,10,0.0304013
8,11,0.0193463
8,12,0.0119763
8,13,0.00718576
8,14,0.00416018
8,15,0.00231121
8,16,0.00122358
9,1,0.71875
9,2,0.510081
9,3,0.357056
9,4,0.246246
9,5,0.167095
9,6,0.111397
9,7,0.0728364
9,8,0.0466153
9,9,0.0291346
9,10,0.0177341
9,11,0.0104792
9,12,0.00598813
9,13,0.00329347
9,14,0.00173341
9,15,0.000866704
9,16,0.000407861
10,1,0.6875
10,2,0.465726
10,3,0.310484
10,4,0.20342
10,5,0.13077
10,6,0.0823369
10,7,0.0506688
10,8,0.0304013
10,9,0.0177341
10,10,0.0100236
10,11,0.00546743
10,12,0.00286389
10,13,0.00143195
10,14,0.00067829
10,15,0.000301462
10,16,0.000124131
11,1,0.65625
11,2,0.423387
11,3,0.268145
11,4,0.166435
11,5,0.10105
