l,p(!0),p(0)
1,0.03125,0.96875
2,0.243951612903225806,0.756048387096774194
3,0.54032258064516129,0.45967741935483871
4,0.766129032258064516,0.233870967741935484
5,0.894327030033370412,0.105672969966629588
6,0.956124088493387715,0.0438759115066122852
7,0.983029577022902941,0.0169704229770970594
8,0.993883041936434595,0.00611695806356540509
9,0.997960697070819429,0.00203930292918057108
10,0.999379342586771131,0.000620657413228869461
11,0.999830729796392126,0.000169270203607873519
12,0.999959697570569554,4.03024294304460992e-05
13,0.999991939514113911,8.06048588608923068e-06
14,0.999998727291702196,1.27270829780351709e-06
15,0.999999858587966911,1.4141203308933991e-07
16,0.999999991681645112,8.31835488755401989e-09
17,1,0
