GenomeID,Fitness,NumberEvolvingFitter,NumberEvolvingEqual
562c-9b57-74d5-a904-94f9,0.000771605,584,39
abcd-e115-cb24-7109-d5f1,0.000284445,3184,1
6a18-a575-720f-89c0-603c,0.000685871,912,57
908c-eec8-cdee-510b-be0e,0.00018,3567,1
1b63-9e87-1695-920a-69b4,0.000685871,945,53
ae3f-4996-ac92-a394-6f88,0.000364255,2688,0
be48-a7aa-afd1-9d78-a949,0.000541923,1515,271
d85f-9b2d-6680-6e0f-316,0.000385803,2668,1
969-d30d-2903-8800-154f,0.000530842,1768,106
41d9-a364-b3d6-586e-356e,0.000796263,496,9
9888-bc6c-5ff5-4859-59e5,0.00023593,3405,21
d9fb-4885-e5d3-53c4-aefd,0.000428669,2260,44
c53c-a556-c3b3-ee3c-a37a,0.00231482,135,4
7bfe-86c4-5fe7-dbf4-cf1d,0.000157286,3643,1
7e9e-a706-ce1a-e073-c831,0.000411987,2381,201
cf43-5797-2b35-73d0-8291,0.00023593,3467,37
d5d4-414-7aed-c5aa-b2f2,0.000734082,702,42
2229-6d3d-7c52-4d5e-e10d,0.000141035,3700,0
fee3-3405-2ed9-c9fa-7f,0.000549316,1351,150
d06a-440e-9236-1751-81d6,0.000530842,1894,69
d156-eeb3-500f-4c43-b45d,0.000796263,510,29
866-9895-88-373f-6290,0.0234375,27,0
2874-a566-20ad-6410-be45,0.0098877,35,0
e589-db44-a28d-636-3f55,0.000825976,401,7
60d2-72de-74bb-dca-2f95,0.000756,694,13
f665-6f1f-ef4f-9430-c919,0.000313389,2962,0
b1e1-752-e302-7870-ba22,0.00072576,860,6
e029-5df9-9567-82b7-642f,0.000411987,2382,200
d4bc-e389-d70d-4977-f154,0.000917751,249,3
6a2-3fdc-6073-f5f1-d40d,0.00069953,847,7
2b7b-bb80-ba05-1e78-b6a1,0.000411987,2356,194
331d-d059-bdf3-161f-48c9,0.01152,32,0
4ddd-e8a1-6b8d-ae50-de92,0.000144676,3745,0
3f9a-d7dd-e087-ffbe-41de,0.00025489,3319,9
b3ff-7778-1a0b-71f2-8d97,0.000611735,1124,47
62d5-ea08-83e0-997-f785,0.00070254,835,0
bdbb-b096-2d73-9e42-b054,0.000976562,225,47
2543-e5cc-1a87-d1-527c,0.000367041,2711,34
b337-f6a4-c693-7379-4491,0.000976562,204,35
c573-3d70-f00a-8c06-b0e9,0.000291471,3141,0
6d-6980-72cc-db98-360a,0.000611735,1137,56
b0a5-3124-8e8b-2dd8-3647,0.000530842,1865,113
630d-bec3-be23-ae80-4151,0.000611735,1083,36
98ee-7f82-b9a8-7431-c8df,0.000541923,1488,257
304b-d671-1171-ee6e-84f1,0.000549316,1332,155
a088-3970-fe8b-3245-997,0.000528603,2014,0
529f-55dd-4073-caea-31f2,0.000385803,2498,3
b873-4bd2-8aa7-58a4-ead3,0.000578183,1267,7
205b-993e-bc94-8bbe-b69d,0.000411987,2348,169
5a4b-b7-ce4a-f210-6731,0.000796263,458,21
a60b-943e-4f6f-7455-864e,0.000541923,1488,270
b6a0-c751-30d2-69a3-a4f5,0.000611735,1084,20
d9d-e27d-8668-2946-844d,0.000271267,3220,2
2a89-97dc-8761-5b5b-180,0.00023815,3362,14
501e-bd9e-df93-bac8-60fc,0.000756,624,9
2ecc-af14-ff39-f6be-4fbc,0.000411987,2439,176
d668-f43e-646a-d5a1-eafc,0.000734082,669,24
337c-2fd8-b758-dedf-cef6,0.00023593,3477,41
4ec7-73d3-56ad-b331-4975,0.000509779,2094,26
41aa-6758-3c8b-7382-28da,0.000578183,1344,15
2ca9-a6ff-58b2-e401-85de,0.00042867,2264,33
27a8-f4e2-8ea-eef9-39cd,0.00038104,2525,78
d38b-fc47-bd4-2a38-af79,0.000211224,3598,3
5549-6be2-16d1-91d4-df65,0.000609663,1130,52
d12e-4363-b562-e9bf-e23b,0.00042867,2277,19
43a8-ad8d-263e-ca0c-45ea,0.00023593,3484,18
e8bd-df08-a172-179c-4959,0.00030899,3084,101
2b9d-997f-795a-e836-53f,0.000541923,1490,285
5cb9-9d30-c80f-1606-b66d,0.000603497,1263,45
f8c1-3714-1353-d6ff-7e60,0.00023593,3467,47
3a46-fb28-8e6a-3787-2541,0.000267616,3239,2
fe91-2044-449-a003-37e0,0.000542535,1492,5
d096-4d4a-3bd2-98a5-6350,0.000541923,1547,270
88d0-a5c0-97a5-8d19-45c3,0.00030899,3011,122
ba9b-7007-e52e-f66d-8ad,0.000868056,339,3
279-fba8-2e1a-6608-a2d7,0.000428669,2231,41
7bfa-92cd-1433-6129-893b,0.00064373,1014,34
2b0b-33bf-e4d-73a3-70e0,0.000825842,434,0
8a3e-1fe-7d87-e0ec-329d,0.00093687,280,1
ba4b-9d26-3757-9e61-7559,0.000541923,1451,282
9161-c95-252d-34a-c389,0.000773886,573,0
9c6b-64f8-2577-aab8-d89b,0.000411987,2394,200
2862-200f-86e7-3089-fc5,0.000880899,330,7
26c-c1ea-1c5a-2799-c534,0.000530842,1844,66
50d1-d62e-d8f3-2b6a-ea0d,0.00123596,180,5
81ea-a940-af02-aa92-619,0.000732422,820,56
c240-c4f1-ff5e-3a77-4c8,0.000353894,2822,103
6c81-a1fc-d745-9be-4da6,0.000732422,755,53
d210-b6c0-fbbd-8ec5-801c,0.000314789,3051,1
caae-b463-2219-4ae1-e337,0.00038104,2625,80
9f40-cfdc-b566-a7af-2fcd,0.000428669,2202,51
f6ef-8424-303d-3b19-220b,0.000231743,3528,39
90c0-8bf7-b973-a02c-10e4,0.000530842,1900,84
98dd-6ada-c548-baf7-b5bb,8.81467e-05,3725,1
b564-61c7-68b7-a25-1f49,0.00023593,3402,24
c578-32c-918-577b-3392,0.000743378,740,12
6391-e83b-bf89-1d04-8868,0.000428669,2258,61
d06d-b5e2-f342-95b5-70d9,0.00023593,3353,30
2b62-8610-6511-347a-dd8c,0.000267918,3269,22
eb1f-b3ab-5d28-da53-7443,0.000530842,1880,70
bf0d-5b5-fa54-241e-3a2f,0.000270962,3178,3
fbd6-ce08-17b9-f85a-74e3,0.00064373,1002,36
30be-90f8-e8b4-2dbe-2779,0.0078125,45,4
9232-18dd-db24-ef5a-f330,0.00076171,633,0
4f68-ae68-f8e5-49bc-d286,0.000796263,477,12
3314-219c-8f48-54f-bf43,0.000541923,1492,294
d863-dd92-4cdf-f01c-d5ec,0.000411987,2333,175
c1c2-20db-66e5-aa76-4e99,0.000611735,1039,24
acf1-869f-2442-3c39-8bef,0.00069953,901,2
e386-e06f-1889-8ea0-c22b,0.000541923,1504,282
9761-6704-9fbe-e440-5720,0.000482798,2082,28
eeca-97c9-5d2a-753-266a,0.000549316,1323,126
234b-5f09-996c-fd25-3d0f,0.000541923,1487,267
ecb5-b33a-ab15-807f-cc2a,0.000749496,693,4
e2f1-67f0-8bb7-90b3-d5dc,0.000541923,1491,294
d7cf-c16a-2856-58a5-1b19,0.000549316,1352,128
d75a-eac9-ee3a-a97c-f927,0.00030899,3002,136
c7ee-ccc8-5831-615a-c9ed,0.000530842,1809,111
9540-4e0f-7d27-4055-ce8e,0.00038104,2549,74
4951-db5-5f92-1d35-9528,0.000868056,330,16
5e45-26-fd18-e9fd-90da,0.000353895,2743,17
fe62-2386-48e9-5693-84e0,0.000391737,2522,1
12d6-ebd3-d2f0-8ffd-2c29,0.000541923,1527,244
a17e-d94e-39de-111-f683,0.000541923,1486,274
cf06-5f56-f6a9-cc1e-4953,0.000353895,2718,30
2592-4726-6d02-2acd-a2be,0.000353894,2790,128
e923-292f-c644-320c-7fc3,0.000468328,2229,4
4b24-44e2-6b96-1e14-d4df,0.000367041,2751,25
a4b0-a0a3-1ffa-9b59-6cc2,0.000530842,1792,116
694e-22dd-bd5-746e-fca5,0.000411987,2342,186
4824-7115-d599-f651-42b3,0.000771605,569,38
963d-9b01-e356-b637-365b,0.000804663,442,26
5018-1f85-5938-5bed-93f3,0.000231743,3489,29
f2c0-8031-11ac-e0bd-2cfe,0.000541923,1539,293
db9b-a6cb-8ccc-bef1-5d03,0.000530842,1820,115
c327-f0a-7c88-1c5f-6af7,0.000281632,3199,8
107c-723c-6d17-3e6f-be4,0.00030899,2953,126
b913-d427-6069-de03-877c,0.000611735,1017,51
2d55-c4b5-caba-a9de-e114,0.000707223,839,5
35b2-ba5a-5351-a2c9-f8c9,0.000428669,2314,59
3be6-a45e-8d75-9c50-8261,0.000509779,2076,19
b3ff-fe8c-26c1-750-a155,0.000208146,3591,0
7fd8-856a-f62f-d4d-21ba,0.000611735,1054,19
9cef-5bef-93eb-c3b0-6340,0.000530842,1958,60
3540-e33b-c9c6-fbcb-2cbf,0.000183521,3591,6
86ea-5886-ac41-8bf5-c2db,0.00951984,33,0
fdd3-219-73f7-14d8-3a73,0.00025489,3338,8
6d1a-4533-b075-39a3-4449,0.000217014,3503,0
2229-f1d4-5555-ce6a-7dc9,0.000530842,1948,88
a957-dfb5-421d-f009-9ce0,0.000627226,1130,0
4214-5d23-e213-f289-96c6,0.00015,3671,0
265d-7fa3-117a-4ecb-ea8d,0.00038104,2525,67
e49-70f4-dc61-639e-3f5e,0.00072,868,0
fc33-b545-5090-3e50-a54e,0.000514984,2052,17
9938-f5e1-f291-aab2-44ac,0.000509779,2061,13
dd1e-b8fb-b5a0-b97f-1c99,0.000549316,1335,119
f4fe-13a9-9867-253e-dfdb,0.000509779,2062,40
28ca-f343-b8a4-2b3b-c2c7,0.00288,106,0
2b92-c473-b8a9-1e23-6f25,0.000734082,699,50
44b9-a7f4-c869-dd21-cd32,0.000796263,549,5
68ca-13c7-9982-90eb-c6bd,0.000734082,742,44
3be4-beef-1ebe-cb5f-ab9a,0.02304,22,0
4963-ee10-5cad-4308-482,0.000367041,2640,26
bd0a-e5dc-250b-19b7-28e4,0.000440449,2200,6
4d30-a15b-393e-cb3c-52c9,0.000771605,548,57
91b5-5384-f97d-7230-effd,0.000353895,2798,28
3078-2f3a-d5d9-5583-48f1,0.000541923,1590,278
505b-179d-f1bb-488f-5511,0.000549316,1360,153
a47d-732b-2afc-7a56-c8af,0.000411987,2424,185
3a2b-3ac6-8248-2be6-8355,0.00650308,52,1
d759-ea85-1914-cdc5-e262,0.000880899,292,6
7a10-16fa-6bf4-2e90-59ad,0.00038104,2626,76
67b7-d30d-ccd9-92b3-4d63,0.000816118,447,2
9588-6a1-c676-dd47-d827,0.000353894,2816,57
12fd-e5ee-b05a-446b-d059,0.000428669,2224,39
8e74-74a6-9502-a788-426b,0.000868056,360,1
709a-1574-e464-3711-f2bb,0.000411987,2304,181
b78c-4295-99de-4c8e-ea1e,0.00308642,94,6
dc49-c3f2-bb7-35ae-a74b,0.000411987,2407,195
d01d-efb2-7e21-b482-26c3,0.000542535,1521,7
7bb2-3af5-1fad-6e0c-ba0d,0.000685871,866,69
885b-3e2a-a9bf-67c-f2ac,0.000549316,1366,132
d082-7759-63b9-4153-c0e0,0.000541923,1488,296
5a13-32a2-10dc-4353-5796,0.00038104,2580,88
2151-16b1-58d4-f5b8-f5c6,0.000816118,431,4
767e-b5b3-e6fa-29e7-5d3e,0.000611735,1134,23
f586-daa3-e8dd-ab24-4ea9,0.000498568,2068,0
8f3a-21a3-45c-7634-4b8a,0.000411987,2335,178
96d4-d8f2-5510-74d4-193d,0.000549316,1301,146
b063-da23-7cd1-92b3-fd00,0.0008,488,0
2b59-c08d-8178-8407-bdec,0.000530842,1744,134
5b27-ae75-b5eb-acc9-ffe1,0.000754371,633,23
4584-6fb3-fe68-97a4-b605,0.000424816,2281,2
11cd-b2a6-7a9a-d3e1-369a,0.000411987,2304,182
31fc-8ae7-c8e-b993-32f,0.000880899,292,9
322c-9653-a9e3-3eba-4fe7,0.000231743,3460,33
ad12-7e0a-4efe-1ff5-bbc3,0.00023593,3326,28
e5ba-48dd-603a-6f41-d63f,0.000367041,2658,25
215b-985d-c7fc-80cd-ac96,0.000669041,983,13
914b-d30b-8eff-3b2e-11c6,0.000353894,2792,122
4b93-139f-5113-abcd-82e0,0.000644905,1048,0
39e1-e7d5-1a03-d8ac-9458,0.00069953,870,1
8ddb-fa57-682d-cedc-373f,0.000520365,2046,11
ab09-d746-ad9c-59be-63ac,0.000353895,2707,30
ff94-939f-4b82-1997-6c4b,0.000976562,243,48
e018-adc-44b3-2b9a-2473,0.000324,3011,1
daab-eef-5a3f-603a-bb3c,0.000362098,2823,10
15d5-9d60-38fa-5a34-599e,0.000541923,1512,261
8c2d-34df-688d-e66c-951a,0.000504,2026,1
23ca-e5d1-52ff-365c-61a2,0.000231273,3510,2
1c2c-fa03-bd8a-f035-25c,0.000796263,507,39
8cab-be75-b3ae-1324-6bbd,0.00025489,3298,2
d09f-28f9-91d-99a-832d,0.00023593,3387,25
62bb-95c7-b80c-cb49-7c33,0.00023593,3411,12
c3a7-bc52-1f72-8131-ac88,0.000211689,3627,10
2978-344d-65fd-e185-ff96,0.000609639,1234,3
1a5e-12bb-cbce-c0aa-e44d,0.000669041,973,3
9c05-ea22-189a-202-cba7,0.000353894,2675,124
495-684b-bb4b-fee8-6f25,0.000732422,731,58
bbb2-e15c-4fb1-76fd-e044,0.015625,22,1
c92c-5d91-6f15-18dd-d48e,0.000796263,494,40
d51c-a9ff-d916-4432-c2dc,0.000816118,484,3
bb35-7acf-478a-fd62-54b8,0.000225,3381,0
70cd-dd88-408f-826-aed0,0.000737034,627,1
bc8-6f0f-c2d3-a659-4bf3,0.000771605,550,49
eb48-6681-8551-236e-258d,0.000804663,464,22
8293-6da2-f311-cb7e-2f0d,0.00064373,1059,32
ea10-3335-df2e-b0d2-c8ca,0.0658436,10,1
3e1e-cc4d-cf2c-7a97-2856,0.00064373,1008,31
ddb4-65df-8ed7-6306-894d,0.000754371,687,25
9d7e-98b6-bd63-3b9b-7de1,0.000686646,915,12
3b02-25ab-b116-1a30-d67d,0.000367041,2689,21
79e0-584f-a2ca-490c-d2e6,0.00030899,3011,130
49c9-789d-1207-ec94-c1a9,3.21865e-05,3713,0
e4ed-b7b5-e86a-1db3-11ad,0.000541923,1461,284
7231-dfc6-200a-777a-1d2a,0.000161891,3680,0
ec61-ed6-a9ae-fe68-fb6a,0.000609663,1182,43
6b58-e356-b31f-53c2-109,0.0104167,29,0
fdf9-ab4a-bb00-dbd4-32c2,0.000509779,2143,10
ad1a-f0be-615d-b13a-d56d,0.000796263,506,31
38d3-1387-d6df-e282-11f0,0.000603497,1221,31
d249-4dda-f546-8569-a19c,0.000530842,1767,127
7716-62f5-c150-7ed8-8a1c,0.000530842,1881,73
8958-b7ab-9da3-6037-9a2d,0.00030899,3100,110
56ec-5364-161-590c-4498,0.000411987,2298,182
d0ff-b34d-ae5e-d44c-4d3f,0.000611735,1080,59
cd0b-8799-348d-ce6c-e0a6,0.000353895,2768,36
7e86-6348-9eec-2eed-1245,0.000338702,2946,27
9829-2c92-f6b7-2754-887e,0.00023593,3357,31
aebe-236e-5fd6-4dab-525b,0.000603497,1243,34
865f-3fdf-3b78-bb22-e4c6,0.000603497,1208,37
5a8f-9f7-9d60-d97d-72ca,0.000297351,3237,0
cc04-25-e735-9115-74a8,0.000220225,3583,3
fd05-c95a-7422-74ab-e5bf,0.000353894,2917,59
a64-8935-200e-1299-2111,0.000305868,3263,29
e274-401c-a6b8-c9a9-d132,0.000128601,3663,0
ec93-b04d-7f9c-ca1-c2e6,0.000509779,2166,14
a0ad-e43c-300f-cbb6-5937,0.000411987,2359,185
eeef-e166-110f-897b-70e8,0.00023815,3345,17
feb0-122c-4573-5ef0-651e,0.000440449,2226,10
9a25-ce4a-22d0-1cd1-bd94,0.00038104,2578,86
7bd2-2d2c-2bf1-559-d9b8,0.00162577,182,1
2252-64b9-f017-a92d-a3b6,0.00023815,3368,16
866b-4352-7201-a93c-6023,0.000541923,1464,286
bcc-3dd6-d1f-37be-432f,0.00030899,3056,106
e6d7-5a10-a7e8-d6ee-33d,0.000796263,458,39
4b9f-5d5a-468f-bda0-696,0.000689063,890,3
e7ba-568f-f87d-f4d9-8e4d,0.000642426,1045,5
3bad-dbb0-e85d-e395-b29e,0.000611735,1105,26
eb9a-2f34-ff8-3229-ecd4,0.000541923,1554,274
168e-d8db-da09-1d2-fb33,0.000411987,2305,194
7b39-a487-413c-73b7-9960,0.000541923,1544,273
a9b8-4fa0-a2af-bd5b-36f3,0.00030899,3065,106
6d15-d24f-c984-e225-8a35,0.002625,117,0
dfb7-5b9b-a65a-8266-18f6,0.000734082,743,27
ba85-75b5-be9c-8e3a-787b,0.000732422,789,67
41d1-982a-1392-e82b-1a90,0.000211689,3560,6
2c89-c578-794-b7e0-79a3,0.000796263,463,24
d964-879f-581f-c0ac-8a55,0.000685871,910,71
549c-887c-5016-5c30-405d,0.000530842,1945,72
b363-20e4-117e-af53-d383,0.000353895,2733,27
6adf-88b8-5b22-c2ff-4964,0.000541923,1533,284
95e2-4935-b9fc-a760-f888,0.000549316,1363,146
caa5-ce18-dc7-fd78-43f9,0.00069953,861,3
382f-d53f-8136-f22b-7ca0,0.000353894,2822,114
4f96-2d4e-ac4e-de76-284d,0.00108,205,1
149a-4295-edf1-4aff-b47b,0.00023593,3420,13
b10d-c55d-cd51-4657-41f6,0.000530842,1997,11
c8b0-bc8f-dafe-6cd2-7712,0.000386238,2513,6
4ca2-c139-ae9-27a0-2e0b,0.000549316,1365,156
81fb-5ac7-fe0e-b767-8846,0.000541923,1564,278
fb88-1684-4653-3c3e-fc39,0.00055296,1385,3
5571-b5fb-ce84-2ba0-1376,0.00025489,3304,3
89c9-3ca6-4c6-b30-c297,0.000750171,640,3
1c9-3d4b-6870-64c3-f651,0.000411987,2442,197
268e-226b-dd57-f512-4e0c,0.000541923,1452,267
17bf-2074-8afc-2ee-ed6e,0.000364255,2729,4
ba17-8bd6-d1ba-13eb-40a5,0.000734082,699,26
4a6c-3057-a9fc-4059-90d4,0.000530842,1798,107
8e1f-6bdf-f31a-af8d-ffd5,0.000578183,1299,6
6bdf-6944-e31a-3d99-7d2f,0.000734082,718,46
3e5b-5bdb-343e-3176-b68,0.00038104,2610,75
3413-eb99-d2b4-545c-30b9,0.000859873,338,1
9cef-6214-2832-90a5-7fa6,0.000796263,472,33
af5c-a2ea-fb1e-b703-5217,0.00038104,2508,83
388a-593d-e881-e611-26f9,0.000549316,1414,120
8e3c-1931-417c-60f1-6d8d,0.000880899,303,2
7236-fde0-cfa2-9a68-8e85,0.00188168,164,0
4f48-49c4-316f-4a67-c8,0.000541923,1521,287
8426-776c-2b85-6ca7-5d7d,0.00231482,122,3
527e-1d87-81ea-d553-2a5,0.000734082,699,18
61c6-1845-bc29-8d4b-84ec,0.000353894,2777,100
a518-735f-18ac-c0ee-8ca9,0.000632957,1039,0
3e11-f073-4ba5-adbe-72c9,0.000796263,541,16
bd62-2fa0-ca98-798c-bceb,0.000411987,2401,177
4f85-9333-9cb5-f1f8-2ec4,0.000541923,1465,281
4a76-cfa9-50f9-c31b-9d82,0.00240971,108,0
34c-807d-cd22-cde4-fa09,0.000858307,368,12
8a0e-1d69-8d3c-26c3-f62,0.000530842,1783,104
8bb3-341d-4764-dcac-f738,0.00023593,3409,10
71bf-3c17-cb46-fefc-62db,0.000611735,1184,14
be86-7f8d-a612-e947-2051,0.000240855,3366,0
cccf-95b8-6fb0-72e1-7eff,0.00308642,90,4
59a0-886f-85de-74dd-1064,0.000825976,407,9
2c9-7755-415f-b677-4e88,0.000289352,3255,0
6340-3135-e302-dd81-c7f5,0.000267918,3403,15
4daf-20d5-cd92-57c8-9c69,0.00121933,196,1
9fea-5a92-13be-e149-1109,0.000609368,1218,2
c72c-b40d-dd43-5b7b-fa94,0.000520365,1989,16
5174-836-3c96-f5cf-7ead,0.00038104,2573,82
9000-2172-a24d-f3a6-1108,0.000267918,3239,16
5046-28a5-796d-40e2-49bb,0.000305868,3126,5
b92e-3576-672f-100e-ac6a,0.00023815,3366,2
bdd3-6183-b4a1-fa69-5752,0.000756,634,7
334e-8a69-78c5-d59b-7e10,0.000565778,1319,19
f070-9b25-190c-d6f2-5557,0.00023593,3353,16
de5a-a37f-8d62-f4b4-3f45,0.000411987,2391,174
f968-ade2-74bc-6097-bdf1,0.000411987,2356,172
2126-1e6a-1f74-d5c7-18d3,0.000734082,677,26
214d-7959-492-c802-7c93,0.000231743,3519,29
6b56-b873-17b9-8462-8f65,0.000549316,1416,155
6d10-62bc-32e5-fa72-5771,0.000411987,2374,208
722a-f3db-553-e6e6-5472,0.000549316,1296,128
c59a-503a-c263-ca2c-183d,0.000411987,2460,211
680-3caa-f418-795d-1f63,0.000686646,829,11
d1ed-50e-78e2-b8d7-33fb,0.000514984,1975,15
5163-5479-7eca-457c-cdd6,0.000796263,483,41
9e2d-1769-d2e4-170f-d040,0.000541923,1462,274
acf5-78d3-569d-2bbf-be4f,0.000914495,314,1
2473-c9ec-d5b8-f758-e0fb,0.000267918,3273,8
c810-bbff-9e72-9dc8-b357,0.00023593,3375,50
7f6e-43c0-b18f-3965-386a,0.00130208,181,1
bed1-f884-6b0-8334-e439,0.000305868,3124,33
ee0f-f82-2350-302d-d3c7,0.00023593,3370,36
75bc-edc7-84e6-ce7c-eafc,0.000509779,2068,27
c78d-da94-67a0-4df5-983b,0.000367041,2726,28
1da8-cc6-90bf-2458-8ffb,0.000183521,3620,0
8be8-6f8e-5b89-10ce-3e0b,0.000609663,1151,48
b0da-cbce-3317-4199-f026,0.000917751,265,3
c312-b692-a3ab-3c0e-40fb,0.000317328,2984,1
192b-99e1-b87d-74b4-aab0,0.000411987,2318,181
f688-bb3a-830c-f27-695f,0.000976562,207,37
2554-9f87-b82c-c8ff-db95,0.000578183,1317,5
9af5-14b4-279a-465e-22ae,0.000549316,1332,130
f050-5359-fa4-a87d-1c59,0.000231743,3441,30
eb39-a1a4-c690-b982-543f,0.00289352,96,0
ce9e-af71-7fc6-5e17-99bc,0.00038104,2552,65
f4a7-985f-d7a3-bb37-51e1,0.00023593,3377,32
474b-111d-c243-1eee-cc54,0.000530842,1837,107
1425-4ad0-269a-ba7e-dfa7,0.000411987,2340,198
65be-388b-ab1b-aaed-d52f,0.000771605,540,54
60ef-983-4caf-19fd-1d25,0.00109863,207,2
6177-604c-6624-c92-b39,0.000353894,2805,116
ffb2-817f-75e0-2b01-1c00,0.000685871,931,60
e1e0-2d4d-3ee7-4805-39e0,0.00038104,2481,87
4a20-8359-a64d-7cb1-994a,0.000411987,2308,197
a107-6197-7a5b-16e7-8c98,0.000353894,2808,130
965b-cb89-fce5-93c8-d144,0.0033452,90,0
26f1-cb9c-b051-a14c-e283,0.000509779,2070,22
e0d8-1421-b85b-61f9-819e,0.000424816,2290,7
4b6d-8276-3da3-ab0a-b719,0.000530842,1730,120
4d5a-256c-d35-bbce-a584,0.000375509,2633,9
b88f-1daf-7603-3839-6baf,0.00030899,3000,126
f1a2-ecbb-7b7e-3e2f-137e,0.000281632,3199,12
61f9-d313-8f59-f2dc-e7f4,0.000749496,666,0
539b-c860-3866-c99f-99,0.00135,180,0
7a93-69f4-374d-c6b1-a281,0.000305868,3099,11
a2ba-1747-c995-3214-a24,0.00023593,3428,30
b189-406e-721c-f9cc-503e,0.000428669,2203,46
a91a-45a3-1f84-c1b8-ade,0.00093687,268,1
de10-e25e-e9cd-44c0-25fd,0.000367041,2638,26
24c4-9256-a10a-7d9f-4b26,0.000404728,2594,3
9ba7-c937-c362-fd5-e06,0.000482253,2100,39
afa8-63eb-4346-ebf2-193d,0.000796263,530,15
a135-4e38-dda4-a116-bcd5,0.00012,3643,0
edae-69b0-5036-900e-d355,0.000330037,2985,2
6137-7d95-b022-98f1-fbe5,0.000530842,1960,10
1f9a-b91d-15dc-584a-9cab,0.000868056,306,21
b5ba-450f-9b51-f900-3101,0.000976562,198,35
b48f-9a35-7f39-9233-3b4b,0.000825976,403,2
ea66-c69e-b0c9-699f-58d1,0.000685871,901,64
5d9e-95e6-a8fe-e68-ff85,0.000411987,2359,174
c6c6-9c76-38d8-40aa-81df,0.000771605,531,45
8879-11f8-1a82-2dad-ec79,0.000406442,2570,5
e8e4-1c7-97e4-21bc-4271,0.000609663,1108,51
19c3-f969-9d58-5d40-4edc,0.000530842,1760,110
51d2-ca34-9669-d69d-7e32,0.000406426,2590,2
8977-3dc8-8fcf-126a-4df1,0.00023593,3369,15
afd4-9ae3-5fe9-ca56-c890,0.00030899,3053,115
c8d3-e4e1-ad2e-60b7-69d,0.000411987,2383,214
4ee3-dec9-a1ee-e54c-b566,0.000602137,1325,7
2020-6ec3-f32e-aff0-812e,0.000734082,701,24
45e8-7ada-ce49-f316-db91,0.000685871,915,73
d4e7-e2b6-560b-d4ee-6fad,0.000773886,582,1
3dd-efd4-77e1-f70c-9fc4,0.000541923,1504,285
f90f-382b-ff88-1520-d934,0.00064373,1003,45
29a3-f9c2-c69e-c425-abca,0.000353895,2744,41
236-5337-dfda-5841-2825,0.000411987,2289,196
5513-a1dc-458e-ccf4-98e8,0.000773886,541,3
ce6c-7f55-ef26-ab1d-26aa,0.00038104,2550,71
4636-1a16-62ee-94d0-cd23,0.000796263,506,16
5038-be8e-2a77-4c01-bd32,0.000530842,1843,77
f8b1-1a6d-3c87-e7d7-c58a,0.000338702,3006,22
6331-763a-4a7c-3366-f711,0.000541923,1491,299
d03e-489c-6092-1aba-7c03,0.000796263,485,16
e0a8-7ea0-34cd-7748-d0bd,0.000541923,1489,284
5103-2ac8-2ac7-5bb8-1033,0.000267918,3280,5
151f-2bf6-58cf-75b1-46b1,0.00462963,69,0
46ed-84ca-b2c5-71b5-e082,0.000364255,2721,2
f262-158a-343b-1108-4951,0.000771605,538,45
1b19-cee3-1641-5972-e5c0,3.6169e-05,3636,1
cd82-6549-106b-db53-719e,0.000157286,3657,5
81c5-1746-7055-8a9-8774,0.000611735,1112,47
cc1d-37b3-69ed-e25f-9126,0.000424816,2250,9
515b-9b1d-f505-61c7-7670,0.000338702,3019,25
44d8-96b4-be8e-b169-f3ad,0.000825976,393,9
fc22-bbc5-3aee-51-d54b,0.000353894,2831,67
f0b3-f0b6-3fc-fd85-a62d,0.000541923,1486,270
fbb2-492e-97e6-bac-ecd7,0.000669041,966,15
56d6-a551-1ddc-91c4-a5a3,0.000609663,1184,54
