GenomeID,Fitness,NumberEvolvingFitter,NumberEvolvingEqual
7f3-1a4b-9b8e-33eb-aafb,0.000434028,11637,5
5a1b-2e4c-52f8-5d70-484c,0.000541923,7536,1396
fad4-204d-daa5-2883-58ca,0.000509779,10411,219
604b-4999-e0eb-2a16-6a31,0.000549316,7074,653
c9c9-24ea-8a7e-a46e-4d6d,0.000530842,9354,426
e349-569a-88ab-be34-7f3d,0.00055566,7073,11
1454-180f-5805-21f9-b6d7,0.000381039,13161,408
60d-ba03-81e1-e6f8-e419,0.000353894,14138,804
e60c-52d3-679-2c54-4bd9,0.000530842,9496,450
ce2e-d066-9f85-5ade-ae56,0.000353894,14859,168
4c3f-cba4-b49a-c5b9-c963,0.000796262,2773,117
b032-505a-4463-7f47-b9fb,0.000771605,3183,241
b604-14cd-9a9-7a78-b0cd,0.000816118,2504,20
4e75-2d6d-98f7-edfb-884b,0.000428669,11214,393
5b6c-6885-f533-af5b-646c,0.000549316,7418,712
d853-6d10-fd4c-f54d-c04f,0.00023593,17230,315
3166-7327-6c4-f116-f1b0,0.000549316,7335,712
5ce4-a3e6-9d12-5a30-9933,0.000549316,7127,652
5d61-8b96-c5b-6425-7cad,0.000270961,16397,3
f598-fb29-942-4ca6-732f,0.000157286,18276,38
b2b9-d219-271b-abee-9dac,0.000530842,9837,426
571d-8d3-4193-f42f-6303,0.000754371,3768,88
dac6-5190-ee9a-e721-b5b6,0.000541923,7816,1484
6b47-e52d-c653-614b-a1e7,0.00023593,18143,60
73c6-7218-ee46-b559-6647,0.000796262,2712,121
83de-5429-383-48f-daf5,0.000549316,7427,738
ebca-397e-96db-a3a2-7962,0.000381039,12990,402
e1c-1130-248d-6a8a-4511,0.000609663,6002,241
3103-68e0-cf7a-2f59-3f80,0.000440449,11824,54
6e9e-26ab-b035-8318-448,0.00023593,17161,139
181a-15f-e9c0-3ca7-6bea,0.000541923,8226,1394
7bea-1620-f9e8-1aa2-963,0.000549316,6931,690
d278-32bc-ac2-bc38-6f63,0.000549316,6988,677
6259-67b8-b443-fa43-4be8,0.000578183,6940,4
835-191-a6c5-4731-e5ed,0.0107098,281,0
73c-edb4-7101-b90-79a4,0.000568744,6846,2
fbc5-165a-b3ba-fee0-7e7c,0.000530842,9381,539
e10a-da9b-b139-41b0-83de,0.000305868,16532,157
75c2-6331-c5b6-ef13-5698,0.000549316,7348,634
b9f9-bc93-5bc4-5431-744d,0.000713988,4909,0
9819-6ce5-6cc4-da8a-f1c9,0.000549316,7039,683
7dfc-c52-c175-43b2-fb65,0.00048,11246,4
3cb1-7522-2793-72cc-2db7,0.000428669,11956,400
45e2-2cc5-ea4a-a1a6-80f6,0.000381039,13052,391
5e97-39bf-eddb-cb5b-144a,0.000183521,18040,3
dfa4-e255-42f3-3c26-78e5,0.000764587,3208,2
a137-ba22-8537-62ac-fdd5,0.000796262,2906,129
bf08-d43c-e105-ace3-9f98,0.000686646,4986,74
71d7-a8f8-48c5-f3c4-e13a,0.00023593,16833,316
d1be-4d16-48c6-d2b2-4a19,0.000530842,9525,507
6e86-e4f3-d276-99e4-3545,0.000362098,13720,47
e706-a694-56bb-2fcd-7946,0.000578183,6906,42
9841-c85d-f756-934b-5678,0.000367041,14096,226
19f2-96a9-8ef7-97a3-90f2,0.000686646,4832,63
2c8c-4ae-f0c8-260f-75fc,0.000549316,7076,686
5672-553b-7dd3-7ce7-7fb,0.000353894,14187,820
6c95-35db-a75c-63eb-c927,0.00023815,17299,195
f0c3-b958-1a2f-e18b-df67,0.000530842,10007,533
